Autor,Titulo,Año de publicación,Volumen,Pagina-inicio,Pagina-fin,No páginas,No referencias,Referentes,URL,DOI,PDF,Idioma,Tipo de documento,Área temática/campo,Notas,Edición,Tomo,Número,ISBN
"Altamirano, Fernando",Apuntes sobre el Huicicialtemetl,,,49,52,4,,Apuntes;Huicicialtemetl,,,No,Español,Apuntes,Ciencias de la vida,,,15,,
"Altamirano, Fernando",Repertorio de plantas medicinales indígenas,,,,,,,Plantas medicinales indígenas,,,No,Español,Monografia,Ciencias de la vida,,,,,
"Altamirano, Fernando",Plantas de Nueva España,,,,,,,Plantas ; Nueva España,,,No,Español,Monografia,Ciencias de la vida,,,,,
"Alvarado y Rivera, Ignacio",Breve estudio sobre el Cintul,1882,,1,15,15,,Estudio;Cintul,,,No,Español,Monografia,Ciencias de la vida,,,,,
"Alzate Ramirez, José Antonio","Método para sembrar, podar y sacar fruto de las moreras",1793,,,,,,Método; sembrar; fruto; moreras,https://gazetademexico.colmex.mx/items/show/12456,,No,Español,Articulo,Ciencias de la vida,,,,20,
"Alzate Ramirez, José Antonio",Repulsa a lo publicado por D. Joseph de Vazquez,1831,1,107,112,6,,Repulsa; publicado,https://books.google.com.mx/books?id=gKpLAQAAMAAJ&pg=PT3&dq=Repulsa+a+lo+publicado+por+D.+Joseph+de+Vazquez+jose+alzate&hl=es-419&sa=X&ved=2ahUKEwit9tSl0brsAhXMW80KHfdYA54Q6AEwAHoECAQQAg#v=onepage&q=Repulsa%20a%20lo%20publicado%20por%20D.%20Joseph%20de%20Vazquez%20jose%20alzate&f=false,,Si,Español,Artículo,Ciencias de la vida,,,1,,
"Alzate Ramirez, José Antonio",Botánica,1831,1,20,27,8,,Botánica; nomenclatura; clasificación,https://books.google.com.mx/books?id=rP24AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,1,,
"Alzate Ramirez, José Antonio",Observaciones sobre el cura del gálico,1831,1,34,36,3,,Observaciones; cura del gálico,https://books.google.com.mx/books?id=rP24AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Si,Español,Artículo,Ciencias de la vida,,,1,,
"Alzate Ramirez, José Antonio",Memorias acerca del ambar amarillo,1831,1,61,65,5,,Memorias; ambar amarillo,https://books.google.com.mx/books?id=rP24AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Si,Español,Artículo,Ciencias de la vida,,,1,,
"Alzate Ramirez, José Antonio",Memoria acerca del cultivo del añil,1831,1,194,202,9,,Memoria; cultivo; añil,https://books.google.com.mx/books?id=gKpLAQAAMAAJ&pg=PA194&dq=Memoria+acerca+del+cultivo+del+a%C3%B1il&hl=es-419&sa=X&ved=2ahUKEwic8Pie7ZztAhUXCM0KHZIIAL4Q6AEwAXoECAYQAg#v=onepage&q=Memoria%20acerca%20del%20cultivo%20del%20a%C3%B1il&f=false,,Si,Español,Artículo,Ciencias de la vida,,,1,,
"Alzate Ramirez, José Antonio",Sobre la agricultura y principalmente tocante al Añil,1831,2,133,141,9,,Agricultura; añil,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=A%C3%B1il&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio","Un articulo referente a la obra examen de una sustancia gelatinosa, colectada por M. Domber en Nopal por Mr. Sage",1831,2,162,167,7,,Artículo; sustancia gelatinosa,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=A%C3%B1il&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Sobre la planta de Moictle,1831,2,167,167,1,,Planta; Moictle,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=A%C3%B1il&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Sobre la Yuca,1831,2,318,324,7,,Yuca,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=A%C3%B1il&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Sobre el Chayote,1831,2,328,333,6,,Chayote,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=A%C3%B1il&f=false,,Sí,Español,Artículo,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Memoria acerca de la hierba del pollo,1831,2,343,349,7,,Memoria; hierba del pollo,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=pollo&f=false,,Sí,Español,Memoria,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Memoria sobre agricultura,1831,2,382,399,18,,Memoria; agricultura,https://books.google.com.mx/books?id=q9AEAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=pollo&f=false,,Sí,Español,Memoria,Ciencias de la vida,,,2,,
"Alzate Ramirez, José Antonio",Sobre el arbol de las cuentas de Xabon,1831,3,630,630,1,,Árbol; cuentas de Xabon,,,Sí,Español,Artículo,Ciencias de la vida,,,3,,
"Alzate Ramirez, José Antonio",Sobre el pochote,1831,3,333,,,,Pochote,,,No,Español,Artículo,Ciencias de la vida,,,3,,
"Alzate Ramirez, José Antonio",Tinta,1831,4,236,238,3,,Tinta; sustancia vegetales,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Si,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Medicina botánica,1831,4,245,246,2,,Medicina botánica; Chauhtli,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=medicina%20botanica&f=false,,Si,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Remedio contra la rabia. Es el árbol de la Margarita,1831,4,331,332,2,,Rabia; Árbol; Margarita,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=rabia&f=false,,Sí,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Industrias ó arbitros económicos para el tiempo calamitoso a beneficio publico,1831,4,383,384,1,,Industrias; Arbitros económicos,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Sí,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Modo de alimentar puercos con bellota,1831,4,386,386,1,,Modo; puercos; bellota,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Sí,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Sobre el uso de la arnica,1831,4,388,389,2,,Uso de la arnica,https://books.google.com.mx/books?id=6_64AAAAIAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Sí,Español,Articulo,Ciencias de la vida,,,4,,
"Alzate Ramirez, José Antonio",Preservativo contra los insectos en las coelcciones de Historia Natural: La cebadilla,1831,4,432,433,2,,Preservativo; insectos; Historia Natural; Cebadilla,https://books.google.com.mx/books?id=6_64AAAAIAAJ&pg=PT3&lpg=PT3&dq=gaceta+de+mexico+industrias+o+arbitrios+economicos+por+tiempo+calamitoso&source=bl&ots=oF9iVgeVkG&sig=ACfU3U2a-xogucgOiQj2CJI4PvhN4F7w-Q&hl=es-419&sa=X&ved=2ahUKEwipoJfn8rfsAhXQhK0KHVhoDygQ6AEwA3oECAgQAg#v=onepage&q=gaceta%20de%20mexico%20industrias%20o%20arbitrios%20economicos%20por%20tiempo%20calamitoso&f=false,,Sí,Español,Articulo,Ciencias de la vida,,,4,,
