Autor,Titulo,Año de publicación,Volumen,Pagina-inicio,Pagina-fin,No páginas,No referencias,Referentes,URL,DOI,PDF,Idioma,Tipo de documento,Área temática/campo,Notas,Edición,Tomo,Número,ISBN
"Koch, Karl Heinrich Emil","Hortus dendrologicus : Verzeichnis der Bäume, Sträucher und Halbsträucher, die in Europa, Nord- u. Mittelasien, im Himalaya und in Nordamerika wild wachsen und möglicher Weise in Mitteleuropa im Freien ausdauern; nach dem natürlichen Systeme und mit Angabe aller Synonyme, so wie des Vaterlandes, aufgezählt und mit einem alphabetischen Register versehen",1853,-,1,354,354,,Hortus dendrologicus; Verzeichnis; Bäume; Halbsträucher; Europa; Mittelasien; Himalaya; Nordamerika,https://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10302055_00006.html,,Sí,Alemán,Monografía,Ciencias de la vida,-,-,-,-,-
"Körnicke, Friedrich August",Vorläufige Mittheilungen über den Mais,1872,-,1,16,16,,Ueber; Mais,https://books.google.com.mx/books/about/Vorl%C3%A4ufige_Mittheilungen_%C3%BCber_den_Mais.html?id=sdNwwQEACAAJ&redir_esc=y,,No,Alemán,Monografía,Ciencias de la vida,-,-,-,-,
"Kotschy, Karl Georg Theodor",Überblick der Vegetation Mexico'sberblick der Vegetation Mexico's,1852,-,1,11,11,,Vegetation; Mexico,https://books.google.com.mx/books/about/%C3%9Cberblick_der_Vegetation_Mexico_s.html?id=LD4-AAAAcAAJ&redir_esc=y,,No,Alemán,Monografía,Ciencias de la vida,-,-,VIII,8,-
"Krause, Carlos",Memoria sobre el cultivo del Tabaco,1893,-,1,112,112,,Cultivo; tabaco,https://archive.org/details/memoriasobreelc00krau/page/n1,,Sí,Español,Monografía,Ciencias de la vida,-,-,4,-,-
"Kuhn, Friedrich Adalbert Maximilian",Beiträge zur mexicanischen Farnflora,1870,-,1,47,47,,Mexicanischen; Farnflora,https://babel.hathitrust.org/cgi/pt?id=uc1.c026305621&view=1up&seq=3,,Sí,Alemán,Monografía,Ciencias de la vida,-,-,-,4,-
"Kunth, Karl Sigismund; Freiherr von Humboldt, Friedrich Wilhelm Heinrich Alexander; Bonpland, Aimé",Mimoses et autres plantes le?gumineuses du Nouveau Continent,1819,-,1,223,223,,Mimoses; plantes; Legumineuses; Nouveau Continent,https://www.worldcat.org/title/mimoses-et-autres-plantes-legumineuses-du-nouveau-continent-recueillies-par-mm-de-humboldt-et-bonpland-decrites-et-publiees-par-charles-sigismond-kunth/oclc/458091186,,No,Francés,Monografía,Ciencias de la vida,-,-,-,-,-
"Kunth, Karl Sigismund; Freiherr von Humboldt, Friedrich Wilhelm Heinrich Alexander; Bonpland, Aimé",Synopsis plantarum quas in itinere ad plagam aequinotialem orbis novi collegerunt Humboldt et Bonpland,1822,1,1,479,479,,Synopsis Plantarum; collegerunt Humboldt; Bonpland,https://archive.org/details/synopsisplantar02bonpgoog/page/n7,,Sí,Latín,Monografía,Ciencias de la vida,Se compone de 4 tomos,,1,-,-
"Kunth, Karl Sigismund","Enumeratio plantarum omnium hucusque cognitarum, secundum familias naturales disposita, adjectis characteribus, differentiis et synonymis",1833,1,1,606,606,,Enumeratio plantarum; familias naturales,https://www.biodiversitylibrary.org/item/134934#page/9/mode/1up,https://doi.org/10.5962/bhl.title.67381,Sí,Latín,Monografía,Ciencias de la vida,Se compone de 5 volumenes,-,1,-,-
"Kunze, Gustav",Filices a Leibold in Mexico Lactae,1835,18,303,352,49,,FIlices; Leibold; Mexico,https://babel.hathitrust.org/cgi/pt?id=iau.31858016320339&view=1up&seq=1,,Sí,Latín,Artículo,Ciencias de la vida,"Extracto de Linnaea, v. 18. Título de la leyenda.",-,18,-,-
"Kunze, Gustav",Additamentum enumerationis Filicum mexicanarum,1839,13,129,153,24,,Additamentum; Filicum mexicanarum,https://books.google.com.mx/books?id=DlI-AAAAcAAJ&pg=PA129&lpg=PA129&dq=Additamentum+enumerationis+Filicum+mexicanarum&source=bl&ots=07bi98Woh_&sig=ACfU3U0HKQ5P84vdIJGSoZfcG7CmoZxhgw&hl=es&sa=X&ved=2ahUKEwjIrIqL28TsAhUWLs0KHYBbDLIQ6AEwAXoECAkQAg#v=onepage&q=Additamentum%20enumerationis%20Filicum%20mexicanarum&f=false,,Si,Latín,Artículo,Ciencias de la vida,-,-,5,-,-
"Labastida, Sebastián",Dos observaciones sobre el Jaborandi,1879,14,360,362,3,,Observaciones; Jaborandi,http://www.anmm.org.mx/bgmm/1864_2007/1879-14-18-360-362.pdf,,Si,Español,Artículo,Ciencias de la vida,,-,14,-,-
"Labouret, J.","Mongraphia de la famille d. Cactées comprenant la synonymie, les diverses methodes de classification proposees jusqu´a ce jour pour sa division en Genres et Sons-Genres, et quelques notes sur la Germination es la Physiologie; suevie d´un traite complet de culture et d´une table alphabetique des especes et varietes",1858,-,1,682,682,,Famille; Cactées;,https://www.biodiversitylibrary.org/item/183304#page/3/mode/1up,,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,8,-
"Lagasca y Segura, Mariano",Genera et specíes plantarum quas aut novas sunt aut nondum recte cognoscuntur,1816,-,1,35,35,,Species; Plantarum: novae; cognoscuntur,https://babel.hathitrust.org/cgi/pt?id=ucm.5315118048;view=1up;seq=1,https://bibdigital.rjb.csic.es/medias/0c/21/6b/63/0c216b63-e42b-47c4-aa22-bc5bba224987/files/LagGen.pdf,Sí,Latín,Monografía,Ciencias de la vida,-,-,4,-,-
"Lagasca y Segura, Mariano","Elenchus plantarum quae en Horto Regio Botanico Matritensi colebantur anno MDCCCXV: cum novarum, aut minus cognitarum Stirpium diagnosisi, nonnullarumque descriptionibus contractis",1816,-,1,86,86,,Elenchus Plantarum; Botanico Matritensi,https://babel.hathitrust.org/cgi/pt?id=hvd.32044107267080;view=1up;seq=4,,Sí,Latín,Monografía,Ciencias de la vida,"paginacion: [8], 20, 35, 12, [2]",-,4,-,-
"Laguna, Máximo",Ateneo de Madrid. La Flora Americana. Conferencia de D. Máximo Laguna,1892,1,5,35,30,,Flora Americana,https://www.ateneodemadrid.com/biblioteca_digital/folletos/Folletos-0056.pdf,,Sí,Español,Folleto,Ciencias de la vida,,,,-,-
"Laisne de Villevéque, Gabriel Jacques","Cultivo, Producto, Consumo y Exportación de Tabaco en Yucatán.",1859,1,317,328,12,,Cultivo; Tabaco en Yucatan,https://babel.hathitrust.org/cgi/pt?id=nyp.33433007325065&view=1up&seq=335,,Sí,Español,Artículo,Ciencias de la vida,,,1,9,-
"Lamarck, Jean Baptiste Pierre de Monet de",Tableau encyclopédique et méthodique des trois régnes de la nature. Botanique.,1791,I,1,488,488,,Tableau encycloédique;Trois régnes; Nature botnique,https://archive.org/details/tableauencyclopd21791brug/page/n7,,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,4,-
"Landero y Cos, Francisco",Algodón. Informe sobre el cultivo y producción del algodón en el Distrito de Jalapa.,1869,1,891,894,4,,Aldodón; cultivo y producción; Jalapa,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008360623&view=1up&seq=933,,Sí,Español,Artículo,Ciencias de la vida,2da época,-,1,-,-
"Lange, Johan Martin Christian",Hypopityeas mexicana et centrali-americana. Videnskabdige Meddelelser,1868,-,112,121,12,,Hypopityeae mexicanae; centrali-americanae,https://babel.hathitrust.org/cgi/pt?id=hvd.32044107245060;view=1up;seq=1,,Sí,Latín,Artículo,Ciencias de la vida,-,-,-,-,-
"Larrainzar, Manuel",Noticia histórica de Soconusco y su incorporación á la República Mexicana.,1843,-,1,193,193,,Sonoconusco; incorporación; Republica Mexicana,https://archive.org/details/noticiahistrica01larrgoog/page/n23?q=Noticia+hist%C3%B3rica+de+Soconusco+y+su+incorporaci%C3%B3n+%C3%A1+la+Rep%C3%BAblica+Mexicana,,Sí,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"Larreátegui, José Dionisio","Respuesta apologética de D. Joseph Dionisio Larreátegui, cursante de Medicina y Botánica en esta capital, á los ""Suplementos de la Gaceta de Literatura"" del 5 de Noviembre de 1794 y 30 de Enero de 1795.",1795,-,-,-,-,,Respuesta; Medicina y botánica,*,,No,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"Larreátegui, José Dionisio",Descripciones de plantas. Discurso que en la abertura del estudio de botánica de 1 de Junio ??de 95 pronunció en el Real Jardin de México,1895,,1,48,48,,Descripciones; Plantas; Estudio botánica,https://archive.org/details/b29313260/page/n7,,Si,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"Casas, Fray Bartolomé de las","Apologética historia cuanto á las cualidades, disposición y suelo destas tierras, y condiciones naturales, policías, repúblicas, manera de vivir y costumbres de las gentes destas Indias occidentales y meridionales, cuyo imperio soberano pertenece á los Reyes de Castilla",-,-,1,697,697,,"Historia; disposición; Tierras; costumbres, gentes indias; occidentales; meridionales",https://sites.bu.edu/american-egypt/files/2020/02/Apologetica-Historia-Sumaria.pdf,,Si,Español,Monografía,Ciencias de la vida,-,-,1,-,-
"Laso Vega, José M. de la","Cantidades de tanino en las cortezas de Paraca, Nananchi y Timbe.",1879,,49,54,5,,Tanino; cortezas; Paraca; Nananchi; Timbe,https://www.biodiversitylibrary.org/item/121663#page/61/mode/1up,http://ahcm.bfm.cinvestav.mx/AHCM/DocumentoController/detalleDocumento/AHCM:0016-3813.28.5,Sí,Español,Artículo,Ciencias de la vida,-,-,4,-,-
"Laso Vega, José M. de la",Falsas quinas.,1886,-,5,5,1,,Falsas; Quinas,http://ahcm.bfm.cinvestav.mx/AHCM/DocumentoController/detalleDocumento/AHCM:MEX0-0101.4:49,,Sí,Español,artículo,Ciencias de la vida,-,-,21,,-
"Lasegue, Antonio",Mussée botanique de Benj. Delessert. Not. s les collect. de plantes et la biblioth. qui le composent.,1845,-,1,588,588,,Musée botanique de Benj Delessert; collect plantes,https://www.biodiversitylibrary.org/item/230939#page/7/mode/1up,,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,-,-
"Laterrade, Charles M.","L'Agave geminiflora. Actes - Société linnéenne de Bordeaux, Volúmenes 15-16",1847,,105,114,9,,Agave; geminiflora,https://books.google.com.mx/books?id=7LobAAAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Si,Francés,Artículo,Ciencias de la vida,-,-,XV,V,-
"Leclercq, Jules","Voyage au Mexique, de New York a Vera-Cruz, en suivant les routes de terre",1885,,1,446,446,,Voyage; Mexique; New-York; Veracruz,https://archive.org/details/voyageaumexiqued00lecl/page/n5,,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,-,
"Legorreta, Manuel M. de",Un nuevo medicamento. La Cocolmeca.,1886,2,273,276,4,,Medicamento; Cocolmeca,*,,No,Español,Artículo,Ciencias de la vida,2da época,-,2,-,-
M. Le Grand,Sur la naturalisation dans le Roussillon de l'Agave americana.,1867,-,95,96,2,,Naturalisation;I´Agave americana,https://www.tandfonline.com/doi/pdf/10.1080/00378941.1870.10827537?needAccess=true,https://doi.org/10.1080/00378941.1870.10827537,Sí,Francés,Artículo,Ciencias de la vida,-,-,17,2,-
"Lehmann, Johann George Christian",GenerísNicotianarum Historia.,1818,-,1,52,52,,Generis Nicotianarum; Historia,https://archive.org/details/generisnicotian00lehmgoog/page/n65?q=Generis+Nicotianarum+Historia,,Sí,Latín,Monografía,Ciencias de la vida,-,-,-,-,-
"Martínez de Lejarza; Alday, Juan José",Orchidianum opusculum.,1824,,1,43,43,,Orchidianum; opusculum,https://books.google.com.mx/books?id=hO5hAAAAcAAJ&printsec=frontcover&source=gbs_atb&redir_esc=y#v=onepage&q=orchidianum&f=false,,No,Latín,Artículo,Ciencias de la vida,-,-,-,-,-
"Lejeune, Louis","Cultivo del Tabaco en México. Memoria sobre el tabaco del Valle de Santa Rosa, en el Estado de Oaxaca. Dirigida al Sr. Gustavo Luis de Coutouly, Ministro de Francia.",1885,-,1,46,46,,Cultivo; tabaco; México; memoria; Valle; Santa Rosa,https://www.biodiversitylibrary.org/item/60641#page/1/mode/1up,https://doi.org/10.5962/bhl.title.20663,Sí,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"Lemaire, Charles Antoine",Cactearum aliquot novarum ac insuetarum in horto Monvilliano cultarum accurata descriptio.,1838,-,1,40,40,,Cactearum; novarum; horto Monvilliano; accurata;descriptio.,https://archive.org/details/cactearumaliquo00lemagoog/page/n4/mode/2up?q=Cactearum+aliquot+novarum+ac+insuetarum+in+horto+Monvilliano+cultarum+accurata+descriptio,,Sí,Francés,Monografía,Ciencias de la vida,Fasciculo primero,-,-,-,-
"Lemaire, Charles Antoine","Iconographie descriptive des cactées, ou, Essais systématiques et raisonnés sur l'histoire naturelle, la Classification et la culture des plantes de cette famille",1841,-,1,28,28,,Iconographie descript; cactées; systématiques; cette famille,https://www.biodiversitylibrary.org/item/9923#page/6/mode/1up,https://doi.org/10.5962/bhl.title.508,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,-,-
"Lemaire, Charles Antoine","Les Cactées, Histoire, patrie, organes de vegetation, inflorescence culture, etc",1869,-,1,136,136,,Cactées;histoire; organes; vegetation; culture,https://ia802708.us.archive.org/18/items/bub_gb_Qu_WZxpub0oC/bub_gb_Qu_WZxpub0oC.pdf,https://ia802708.us.archive.org/18/items/bub_gb_Qu_WZxpub0oC/bub_gb_Qu_WZxpub0oC.pdf,Sí,Francés,Monografía,Ciencias de la vida,-,-,-,-,-
"Leppmann, A.","Not. hist. circa medie, e Novo Orbe nobis aliata.",1849,,-,-,-,,Not. hist; Novo orbe,-,,No,Latín,-,Ciencias de la vida,-,-,-,-,-
"León, Andrés de","Practico de morbo gálico, en el cual se contiene el origen y conocimiento de esta enfermedad y el mejor modo de curarla.",1605,-,1,128,128,,Morbo gálico; enfermedad; curarla,http://www.bibliotecavirtualdeandalucia.es/catalogo/es/consulta/registro.cmd?id=7193,,Sí,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"León de la Peña, Carlos",Ligero estudio sobre la capitaneja: tésis que para el exámen profesional de farmacia presenta,1881,-,1,22,22,,Estudio; Capitaneja,https://collections.nlm.nih.gov/catalog/nlm:nlmuid-101598686-bk,,Si,Español,Monografía,Ciencias de la vida,"Reimp. en ""El Estudio"".",-,-,-,-
"León, Juan J.",La Cochinita ó Quiebramuelas (Asclepias curasiviaca).,1859,-,471,473,2,,Cochinita; Quiebranmuelas,https://babel.hathitrust.org/cgi/pt?id=nyp.33433007325065;view=1up;seq=492,,Sí,Español,Artículo,Ciencias de la vida,,-,1,-,-
"León, Nicolás de",Las semillas que saltan.,1886,-,1,2,2,,Semillas; saltan,-,,No,Español,Artículo,Ciencias de la vida,"Se público el mismo articulo en ""Gaceta Oficial delGobierno de Michoacán"" tomo 1, Morelia 1886",-,-,4,-
"León, Nicolás de",La Huanita.,1886,-,-,-,-,,Huanita,-,,No,Español,Artículo,Ciencias de la vida,-,-,1,-,-
"León, Nicolás de",La Huanita. Artículo segundo.,1886,-,-,-,-,,Huanita; artículo segundo,-,,No,Español,Artículo,Ciencias de la vida,-,-,-,-,-
"León, Nicolás de",Manual para el cultivo y beneficio de la Vainilla en Michoacán.,1886,,1,25,25,,Manual; cultivo; Vainilla; Michoacán,-,,No,Español,Monografía,Ciencias de la vida,-,-,-,-,-
"León, Nicolás de",Botánica Médica. La semilla del Cedrón.,1887,-,3,5,2,,Botánica; semilla; Cedron,-,,No,Español,Artículo,Ciencias de la vida,-,-,1,2,-
"León, Nicolás de",Notas de Botánica. Extracto de las lecciones orales hechas á las alumnas de la cátedra de Botánica de la Academia de Niñas del Estado de Michoacán de Ocampo.,1889,-,1,204,204,,Notas; botánica; lecciones; alumnas; cátedra; botánica; Michoacan,http://www.ccc3m.com/producto/notas-de-botanica-extracto-de-las-lecciones-orales-hechas-a-las-alumnas-de-la-catedra-de-botanica-de-la-academia-de-ninas-del-estado-de-michoacan-de-ocampo-por-el-dr-nicolas-leon-primera-parte-b/,,Si,Español,Monografía,Ciencias de la vida,1° parte. Botánica general,-,-,16,-
"León, Nicolás de",Notas de Técnica Microscópico-vegetal: extracto de las lecciones orales hechas a las alumnas de la cátedra de Botánica de la Academia de Niñas del Estado de M de Ocampo,1890,,1,38,38,,Notas; Técnica; Microscopico-vegetal; lecciones; alumnas; catedra,-,,No,Español,Monografía,Ciencias de la vida,2da parte,-,-,16,-
"León, Nicolás de",Cultivo de plantas en maceta.,1890,-,1,16,16,,Cultivo plantas; maceta,-,,No,Español,Monografía,Ciencias de la vida,-,-,-,16,-
"León, Nicolás de",Apuntamientos biográficos del ilustre naturalista michoacano D. Juan José Martínez de Lejarza.,1891,-,-,-,-,,Apuntamientos; naturalista; michoacano; Juan José,-,,No,Español,Artículo,Ciencias de la vida,-,-,-,-,-
"León, Nicolás de",Contribuciones para la Botánica de Michoacán.,1892,,5,7,3,,Contribuciones; botánica; Michoacan,https://archive.org/details/101282180.nlm.nih.gov/page/n7,,SI,Español,Artículo,Ciencias de la vida,,,1,8,-
"León, Nicolás de","Botánica Médica. Rectificación sobre la determinación botánica del vegetal llamado en tarasco Guachacata, clasificado por D. Crescencio García como Bignonia.",1892,-,7,7,1,,Rectificación; determinación; vegetal; Tarasco; Guachacata,-,,No,Español,Artículo,Ciencias de la vida,-,-,-,7,-
"León, Nicolás de","El Escolar Naturalista. Instrucciones para la recolección y preparación urgente por los niños, en las excursiones escolares, de los ejemplares de Historia Natural.",1894,-,1,46,46,,Instrucciones; recolección; preparación; niños; excursiones,https://play.google.com/store/books/details/Nicol%C3%A1s_Le%C3%B3n_El_Escolar_naturalista?id=ODNx4mZcH8cC&hl=in,,No,Español,Monografía,Ciencias de la vida,-,-,-,16,-
"León, Nicolás de","Nombres de algunos vegetales en tarasco, con su correspondiente clasificación científica.",-,-,3,5,2,,Nombres; Vegetales; Tarasco; clasificación científica,-,,No,Español,Artículo,Ciencias de la vida,-,-,-,5,-
"León, Nicolás de",Noticias bio-bliográficas del Dr. Francisco Hernández y de Fr. Francisco Ximénez é identificación científica de algunas plantas y animales contenidos en la obra de este último.,-,-,1,411,411,,Noticias bio-bliográficas: identificación cientifica; plantas; animales,-,,No,Español,Monografía,Ciencias de la vida,Págs. 1-411 de la 2° edición de la obra de Fr. Francisco Ximénez,2,-,-,-
"León Navarro, Octaviano",Jicama de puerco. Dolichos porcinis ó trifoliácea.,1893,1,23,23,1,,Jicama de puerco; Dolichos porcinis; trifoliácea,http://cdigital.dgb.uanl.mx/la/1030020902/1030020902.PDF,,Sí,Español,Monografía,Ciencias de la vida,-,1,,4,-
"Lescano, Antenor",Camote del cerro,1873,,84,85,1,,Camote; cerro,http://www.hndm.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a1ec?intPagina=177&tipo=publicacion&anio=1872&mes=11&dia=01,,Si,Español,Artículo,Ciencias de la vida,-,-,,4,-
"Lescano, Antenor",Cultivo de algodón,1873,,200,201,1,,Cultivo; algodón,http://www.hndm.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a1ec?intPagina=195&tipo=publicacion&anio=1872&mes=11&dia=01,,Sí,Español,Artículo,Ciencias de la vida,Año 1,-,,1,
"Lescano, Antenor","Curso elemental de Agricultura (Agronomía), por Anterior Lescano, que comprende lo siguiente: Agricultura y su definición; Labores é instrumentos, descuajos; Labores ordinarias ó¡ de yunta; Aporques, Rastrillaje, Rodillos y sus labores; Binajes, Siembras, ídem al vuelo; Sembradoras mecánicas; Drenaje, Irrigaciones, Barbechos, Cultivos alternos. La tierra, su origen y noticias cosmográficas; formación de los suelos arables, su composición química y clasificación, Tierra vegetal; Suelos arenosos, calcáreos, humíferos; Diferentes sistemas de clasificación de las tierras agrícolas; Propiedades físicas del suelo; Análisis de las tierras arables; Abonos, Yeso ó sulfato de cal; Marga, Cieno de mar, Cenizas, Arcilla, Sales amoniacales, Carne muscular; Abonos verdes, Estiércoles ó abonos de establos, etc., etc.",1881,1,-,-,-,,Curso; Agricultura,-,,No,Español,Monografía,Ciencias de la vida,-,-,-,4,-
"Liebmann, Frederik Michael",En plantegeographisk Skildring af VulKanen Orizaba,1842,III,371,596,225,,Plantegeographisk; Skildring; Vulcanen Orizaba,https://www.biodiversitylibrary.org/item/197156#page/583/mode/1up,,Sí,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Nachrichten über die Reise der Danischen Botanikers Liebmann in Mexico,1843,26,108,118,10,,Danischen; Botanikers Liebmann; Mexico,https://www.biodiversitylibrary.org/item/940#page/109/mode/1up,,Sí,Alemán,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael","Foredrag over nye Roclparasiter henhorende tel Balanophorernes, Cytineernes, Orobranchiernees og Monotropieernes Familer, sumtlige Former af den Mexicanske Flora.",1844,IV,177,184,7,,Foredrag; Rodparasiter; henhorende; Balanophorernes; Cytineerses; Orobrnchiernees; Momotropieernes; Familier; Mexicanske Flore,https://www.biodiversitylibrary.org/item/197089#page/214/mode/2up,,Si,Danés,Artículo,Ciencias de la vida,-,-,-,5,-
"Liebmann, Frederik Michael","Ny Orchidee -Skegt (Androchilus campestris) henhorende til Mexicos terrestres Former, som udmaerkede sig ved Tilstedevarelsen af en fuldstaendig udviklet Stovdrager med Filament og tilhaeftede Anther.",1844,IV,197,199,3,,Orchidee-Slaegt; Mexicos; terrestres Former,https://www.biodiversitylibrary.org/item/197089#page/214/mode/2up,,Si,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Nogle biologiske Maerkeligheder ved flore Mejicanske Arter af Slaegten. Cuscuta.,1844,IV,193,197,3,,Biolosgiske maerkeligheder; flore Mexicansk; Arler; Slaegten,https://www.biodiversitylibrary.org/item/197089#page/214/mode/2up,,Si,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael","Same fremlagde Agbildninger og 4 nye Mexicanske Cycadeer. og aflaste derpaa folgende Afhandling om Cycadeernes Plads i Systemet, navnlig med Hensyn til Reichenbach´s Anskueleser",1844,IV,204,214,2,,Agbildninger; 4 nye; Mexicanske Cicadeer.,https://www.biodiversitylibrary.org/item/197089#page/214/mode/1up,,Si,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Oplysninger angagende Guaco.,1844,IV,202,204,2,,Oplysninger; angagende Guacco,https://www.biodiversitylibrary.org/item/197089#page/212/mode/1up,,Si,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Vegetation des Piks von Orizaba,1844,-,688,797,110,,Vegetation; Piks Orizaba,-,,No,Alemán,Monografía,Ciencias de la vida,En:Botanische Zeitung,,,,
"Liebmann, Frederik Michael",Udsigt over Lycopodiaceemes Forhold i Mexico. Oversigt.,1847,-,37,43,7,,"Usdigt, Lydopodiaceernes; Mexico",-,,No,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Om Mexicos Podostemoner. Skand. Förhandl.,1847,V,508,515,8,,Mexicos Podostemoner; skand,https://www.biodiversitylibrary.org/item/197177#page/532/mode/1up,,Sí,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael","Mexicos Bregner, en systematisk, critisk, plantegeographisk undersögelse.",1848,-,154,322,168,,Mexicos bregner; plantegeographisk; plantegeographisk; Mexicos; Central-Americas; Urticaeae; Cypereceae,https://www.biodiversitylibrary.org/item/120976#page/7/mode/1up,https://doi.org/10.5962/bhl.title.59220,Si,Noruego,Monografía,Ciencias de la vida,-,-,-,4,-
"Liebmann, Frederik Michael",Mexicos Halvgraes (Cyperace®) bcarbcidede efter Forgaengernes og egne materialir,1850,-,-,-,-,,Mexicos Halvgraes; Forgaiengernes; Materialir; Kjobenhaon,-,,No,Danés,Monografía,Ciencias de la vida,-,-,-,4,-
"Liebmann, Frederik Michael","To nye Valnodartes fra Mexico. (""Inglans pyriformis, Carya tetraptera"").",1850,,78,80,2,,Nye; Valnodartes; Mexico,-,,No,Danés,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Mexico's og Central-Amerika's Urticaceae et Cyperaceae.,1851,-,-,-,-,-,Mexicos; centras-amerik´as; urticceae; cyperaceae,-,,No,Danés,-,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael",Novarum plantarum mexicanarum generum decas.,1853,-,90,107,17,,Novarum; plantarum; mexicanarum; generum decas,-,,No,Latín,Artículo,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael; Orsted, Anders Sandoe","Chênes de l'Amérique tropicale: iconographie des espèces nouvelles ou peu connues. Ouvrage posthume, achevé et augmenté d'un aperçu sur la classification des chênes en général",1868,-,1,31,31,,Chenes; Amerique tropicale,https://books.google.com.mx/books/about/Ch%C3%AAnes_de_l_Am%C3%A9rique_tropicale.html?id=Ki-1HAAACAAJ&redir_esc=y,,No,Francés,Monografía,Ciencias de la vida,-,-,-,-,-
"Liebmann, Frederik Michael","Americas egevegetation; Novarum plantarum mexicanarum generum decas; Mexicos Aroideer, Mexicos Juncaceer, Mexicos Begonier, Mexicos Rubi, Mexicos og Central-Americas; neldeaglige Planter Urticae, Moreae; Artocarpear og Ulmaceae.",-,-,-,-,-,,Americas agevegetation; plantarum mexicanarum; Mexicos Aroideer; Juncaceer; Begonier; Mexicos Rubi;Central-Americas; Planter UrticaeM Moreae; Artocarpeae; Ulmaceae,-,,No,Danés,-,Ciencias de la vida,-,-,-,-,-
"Liguistin, H.","Empoisonnement observé sur les chevaux et mulets du corps expéditionnaire du Mexique, lors du passage de l'armée au Río Frío. Sabadilla,",1886,2,129,141,11,,Empoisonnement; chevaex; mulets; Expeditionnaire du Mexique; Río Frío,https://babel.hathitrust.org/cgi/pt?id=mdp.39015046999432;view=1up;seq=135,,Sí,Español,Artículo,Ciencias de la vida,-,-,2,-,-
"Linden, Jean Jules; Lu?ddemann, G.; Planchon, Jules-Emile; Reichenbach, Heinrich Gustav","Pescatorea: iconographie des orchide´es / par J. Linden ... con la colaboración de mm. JE Planchon, m. G. Reichenbach, G. Luddemann.",1860,1,1,102,102,,Pexcatorea; Iconographie; Orchidees,https://www.biodiversitylibrary.org/item/111245#page/6/mode/1up,,Sí,Francés,Monografía,Ciencias de la vida,7 volumenes en total,-,1,-,-
"Linden, Jean Jules; Linden, Lucien; Rodigas, Emile; Cogniaux, Alfred","Lindenia. Iconographie d. Orchidées dir. etréd. p. J. Linden, L. Linden, E. Rodigas et R. A. Rolf.",1885,1,1,62,62,,Lindenia; Iconographied; Orchidées,https://www.biodiversitylibrary.org/item/256597#page/1/mode/1up,,Sí,Francés,Monografía,Ciencias de la vida,17 volumenes en total,-,1,-,-
"Linneo, Carlos von","Hortus Cliffortianus Plantas exhibens quas In Hortis tam Vivis quam Siccis, Hartecampi in Hollandia, coluit vir nobilissimus & generosissimus Georgius Clifford juris utriusque doctor, Reductis Varietatibus ad Species, Speciebus ad Genera, Generibus ad Classes, Adjectis Locis Plantarum natalibus Differentiisque Specierum. Cum tabulis aeneis. / Auctore Carolo Linnaeo, Med. Doct. & Ac. Imp. N. C. Soc.",1738,1,1,502,502,,Hortus; plantas; hortis; Hartecampi; Hollandia; nobilissimus; Varietatibus; Species; genera,https://bibdigital.rjb.csic.es/records/item/11198-redirection,,Sí,Latín,Monografía,Ciencias de la vida,-,2,-,11,-
