Autor normalizado,Nombre firma,Abreviatura,Nombre completo,Rol principal,Rol adquirido,Género,Comunidad,Subcomunidad,Año de nacimiento,Año de muerte,Lugar de nacimiento,Lugar de muerte,Formación,Fuente de institución,Profesión,Grado,Adscripción,Cargo,Afiliación,Reconocido,Movilidad,Linaje científico,Linaje descendiente,Epónimo recibido,Otorgado por,Epónimo asignado,Otorgado a,Aportación / Descubrimiento,Notas,Trabajo
Artigas Gustavo R,,,Gustavo R. Artigas,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Estudios sobre la flor de noche buena
Atristain Federico,,,Federico Atristain,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Cultivo y explotación del naranjo
John Woodhouse Audubon: https://www.wikidata.org/wiki/Q18508415,"Audubon, J.W.",,John Woodhouse Audubon: https://www.wikidata.org/wiki/Q18508415,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1812,1862,Estados Unidos: https://viaf.org/viaf/130168302,Estados Unidos: https://viaf.org/viaf/130168302,,,,,,,,,,,,,,,,,,Illustrad notes of an Expedition through Mexico and California
August Ascherson Paul Friedich,Asch,,Paul Friedich August Ascherson,historiador: https://www.wikidata.org/wiki/Q201788,"lingüista: https://www.wikidata.org/wiki/Q14467526 , etnógrafo: https://www.wikidata.org/wiki/Q12347522 , botánico: https://www.wikidata.org/wiki/Q2374149",,botánica: https://www.wikidata.org/wiki/Q441,,1834,1913,Germany (East): https://viaf.org/viaf/125035363,Germany (East): https://viaf.org/viaf/125035363,"Universidad Federico Guillermo: https://www.wikidata.org/wiki/Q20266330 , Universidad Humboldt de Berlín: https://www.wikidata.org/wiki/Q152087",,historiador: https://www.wikidata.org/wiki/Q201788,catedrático,"Academia Alemana de las Ciencias Naturales Leopoldina: https://www.wikidata.org/wiki/Q543804 , Academia de Ciencias de Hungría: https://www.wikidata.org/wiki/Q265058",,,,,,,"Aschersonia, Aschersoniodoxa","Ferdinand von Mueller, Ernest Friedrich Gilg, Reinhold Conrad Muschler",,,,,"Uber Euchlaena Mexicana Schard, Catalogus cormophytorum et anthophylorum serbie, bosniae, Herzegovian, Montes Scodri, Albaniae hucusque cognitorum"
Augustus Kanitz: https://www.wikidata.org/wiki/Q115970616,,,,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Catalogus cormophytorum et anthophylorum serbie, bosniae, Herzegovian, Montes Scodri, Albaniae hucusque cognitorum"
Aveleyra Ramon N,,,Ramón Aveleyra N.,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Sustitución de algunas drogas indígenas
Avila Miguel,,,Miguel Avila: https://www.wikidata.org/wiki/Q6844442,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Pequeños estudios sobre el Mispatle o Quixmipatle, Chapuz y Chapuzina. Breve estudio sobre su acción fisiologica"
Aznar Barbachano Tomas,,,Tomas Barbachano Aznar,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,"Colegio Clerica , Universidad Autónoma de Yucatán: https://www.wikidata.org/wiki/Q2684607",,,,,"sargento: https://www.wikidata.org/wiki/Q157696 , profesor: https://www.wikidata.org/wiki/Q10639464",,,,,,,,,,,,"La caña de azúcar en Yucatán, El coco"
B White,,,,,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,
Badillo Eulalio R,,,Eulalio Badillo,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Apuntes sobre el cultivo del chile
