Autor normalizado,Nombre firma,Abreviatura,Nombre completo,Rol principal,Rol adquirido,Género,Comunidad,Subcomunidad,Año de nacimiento,Año de muerte,Lugar de nacimiento,Lugar de muerte,Formación,Fuente de institución,Profesión,Grado,Adscripción,Cargo,Afiliación,Reconocido,Movilidad,Linaje científico,Linaje descendiente,Epónimo recibido,Otorgado por,Epónimo asignado,Otorgado a,Aportación / Descubrimiento,Notas,Trabajo
Johann Otto Boeckeler: https://www.wikidata.org/wiki/Q10307778,Boeckeler,,Johann Otto Boeckeler: https://www.wikidata.org/wiki/Q10307778,farmacéutico: https://www.wikidata.org/wiki/Q105186,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1803,1899,"Hannover, Alemania","Varel, Alemania",,,,,,,,,,,,,,,,,,Ueber die von Liebmann in Mexico gesammelten Cyperaceen
Désiré Georges Jean Marie Bois: https://www.wikidata.org/wiki/Q3045181,M. D. Bois,Bois,Désiré Georges Jean Marie Bois: https://www.wikidata.org/wiki/Q3045181,botánico: https://www.wikidata.org/wiki/Q2374149,"Horticultor , Agrónomo , profesor universitario: https://www.wikidata.org/wiki/Q1622272",,botánica: https://www.wikidata.org/wiki/Q441,,1856,1946,Granville (France): https://viaf.org/viaf/144253699,"Saint Mandé, Francia",,,"[""Botánico"" , horticultor: https://www.wikidata.org/wiki/Q3140857 , agrónomo: https://www.wikidata.org/wiki/Q1781198",,Museo Nacional de Historia Natural de Francia: https://www.wikidata.org/wiki/Q838691,"Presidente de la Sociedad Botánica de Francia , Director del Museo Nacional de Historia Natural de Francia","Société Botanique de France: https://www.wikidata.org/wiki/Q1506427 , Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396 , Academia de Ciencias de ultramar: https://www.wikidata.org/wiki/Q337512",Orden Nacional de la Legión de Honor: https://www.wikidata.org/wiki/Q163700,Francia: https://www.wikidata.org/wiki/Q142,"Nicolas Auguste Paillieux , Georges Gibault: https://www.wikidata.org/wiki/Q113374249 ,",,"Kalanchoe boisi, Merremia boisiana, Pavonia boisiana, Polypodium boisii, Rosa boisii","Raymond Hamet - Joseph Marie Henry Alfred Perrier, Simon Jan Van Ooststroom, Antonio Krapovickas, Konrad Hermann Heinrich Christ, Jules Cardot",,,,Autoridad en la descripción y clasificación científica de los vegetales,Las cactaceas útiles
Pierre Edmond Boissier: https://www.wikidata.org/wiki/Q34430,Pierre Edmond,Boiss.,Pierre Edmond Boissier Butini,"botánico: https://www.wikidata.org/wiki/Q2374149 , matemático: https://www.wikidata.org/wiki/Q170790",gastador: https://www.wikidata.org/wiki/Q2314719,,botánica: https://www.wikidata.org/wiki/Q441,,1810,1885,"Ginebra, Suiza","Veleyres, Suiza",,,"[""Botánico"" , matemático: https://www.wikidata.org/wiki/Q170790",,,,Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396,,Suiza: https://www.wikidata.org/wiki/Q39,William Barbey-Boissier: https://www.wikidata.org/wiki/Q3568417,Caroline Barbey-Boissier: https://www.wikidata.org/wiki/Q5753301,"Boissiera squarrosa, Acanthus boissieri, Allium boissieri, Bilacunaria boissieri, Laubertia boissieri,  Alexitoxicon boissieri, Anaphalis boissieri,  Euphorbia boissieriana, Sideritis boissieriana, Scrophularia boissieriana","Christian Ferdinand Friedrich Hochstetter - Ernst Gottlieb de Steudel, Heinrich Carl Haussknecht, Eduard August von Regel, Georges François Reuter, Michael Georgievich Pimenov - Vadim Tijomírov, Alphonse Louis Pierre Pyrame de Candolle, Nikolái Ivánovich Kuznetsov - Yevguenia Gueórguievna Pobedímova, Yaroslav Ivánovich Projánov, Gerardo Stübing Martínez, Hippolyte François Jaubert - Édouard Spach",,,,Boissiera es el título de la colección de Memorias de Botánica sistemática; publicado por el Conservatorio y Jardín Botánico de Ginebra,Voyage botanique dans le midi de l´Éspagne pedant l´année 1837
Bolaños Juan N,,,Juan N. Bolaños,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Maíz, Zumaque, Árbol de Santa María del Tule en el departamento de Oajaca"
Bolduc,,,,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,"Análisis del Mechoacan, de Nueva España"
Aimé Bonpland: https://www.wikidata.org/wiki/Q405702,Bonpl.,,Aimé Jaques Alexandre Bompland,médico: https://www.wikidata.org/wiki/Q39631,botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1773,1858,"La Rochelle, Francia",Entre Ríos (Argentina): https://viaf.org/viaf/154764348,,,médico: https://www.wikidata.org/wiki/Q39631,,,,"Academia Alemana de las Ciencias Naturales Leopoldina: https://www.wikidata.org/wiki/Q543804 , Academia de Ciencias de Baviera: https://www.wikidata.org/wiki/Q684415 , Sociedad de Geografía de París: https://www.wikidata.org/wiki/Q2297128 , Academia de Ciencias de Francia: https://www.wikidata.org/wiki/Q188771",,"Europa: https://www.wikidata.org/wiki/Q46 , América",,,,,,,,,"Plantes e?quinoxiales recueillies au Mexique, Mimosées et autres plantes légumineuses dunouveau continent, Monographie des melastomacées..."
Matthieu Bonafous: https://www.wikidata.org/wiki/Q1107072,Bonaf.,,Matthieu Bonafous: https://www.wikidata.org/wiki/Q1107072,"botánico: https://www.wikidata.org/wiki/Q2374149 , agrónomo: https://www.wikidata.org/wiki/Q1781198",,,botánica: https://www.wikidata.org/wiki/Q441,,1793,1852,"León (Francia, Golfo): https://viaf.org/viaf/244568218",France: https://viaf.org/viaf/170385099,Universidad de Ginebra: https://www.wikidata.org/wiki/Q503473,,"[""Botánico"" , agrónomo: https://www.wikidata.org/wiki/Q1781198",,,diputado del Reino de Cerdeña: https://www.wikidata.org/wiki/Q21767514,Academia de Ciencias de Turín: https://www.wikidata.org/wiki/Q2822396,sericicultura: https://www.wikidata.org/wiki/Q864650,Francia: https://www.wikidata.org/wiki/Q142,,,Bonafousia,Alphonse Louis Pierre Pyrame de Candolle,,,,,"Histoire naturelle, agricole et economique du maís"
Bonelli Giorgio,,,Giorgio Bonelli,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,1724,1782,"Vicoforte, Italia","Vicoforte, Italia",,,,,,,,,Italia: https://www.wikidata.org/wiki/Q38,,,Bonellia,Carlo Luigi Giuseppe - Colla Luigi Aloysius,,,,,"Hortus Romanus, juxta systema Tournefortianum"
Alexandre Boreau: https://www.wikidata.org/wiki/Q2833488,,Boreau,Alexandre Boreau: https://www.wikidata.org/wiki/Q2833488,"botánico: https://www.wikidata.org/wiki/Q2374149 , farmacéutico: https://www.wikidata.org/wiki/Q105186",,,botánica: https://www.wikidata.org/wiki/Q441,,1803,1875,"Saumur, Francia",Angers: https://viaf.org/viaf/156582223,Jardín Botánico de Angers,,botánico: https://www.wikidata.org/wiki/Q2374149,,Jardín Botánico de Angers,Director del Jardín Botánico de Angers,,,Francia: https://www.wikidata.org/wiki/Q142,Hippolyte François Jaubert: https://www.wikidata.org/wiki/Q1620034,,Boreava orientalis,Hippolyte Francois Jaubert - Édouard Spach,,,,,"Notice sur l´agave Americana, suivie de la description de quelques plantes nouvelles ou peu connues."
Charles Francois Paul Alfred Preudhomme de Borre: https://www.wikidata.org/wiki/Q55071196,,,Charles Francois Paul Alfred Preudhomme de Borre: https://www.wikidata.org/wiki/Q55071196,botánico: https://www.wikidata.org/wiki/Q2374149,,,botánica: https://www.wikidata.org/wiki/Q441,,,,,,,,,,,,,,,,,,,,,,,Monographie des Agavées
Eugène Burnouf: https://www.wikidata.org/wiki/Q700638,Eugéne Burnouf,,Eugène Burnouf: https://www.wikidata.org/wiki/Q700638,"filólogo: https://www.wikidata.org/wiki/Q13418253 , indólogo: https://www.wikidata.org/wiki/Q18524037",botánico: https://www.wikidata.org/wiki/Q2374149,,botánica: https://www.wikidata.org/wiki/Q441,,1801,1852,France: https://viaf.org/viaf/170385099,France: https://viaf.org/viaf/170385099,École des chartes: https://www.wikidata.org/wiki/Q273570,,indólogo: https://www.wikidata.org/wiki/Q18524037,,"Escuela Normal Superior: https://www.wikidata.org/wiki/Q135436 , Collège de France: https://www.wikidata.org/wiki/Q202660",catedrático: https://www.wikidata.org/wiki/Q121594,Academia de las Inscripciones y Lenguas Antiguas,,Francia: https://www.wikidata.org/wiki/Q142,,Jean-Louis Burnouf: https://www.wikidata.org/wiki/Q3166670,,,,,Fundador de la Sociedad Asiática,,Excursión en la Huasteca y en la costa
Jean-Baptiste Boussingault: https://www.wikidata.org/wiki/Q503318,Jean-Baptiste Boussingault: https://viaf.org/viaf/76414227,,Jean-Baptiste Boussingault: https://www.wikidata.org/wiki/Q503318,"químico: https://www.wikidata.org/wiki/Q593644 , botánico: https://www.wikidata.org/wiki/Q2374149 , agrónomo: https://www.wikidata.org/wiki/Q1781198","profesor universitario: https://www.wikidata.org/wiki/Q1622272 , Político , académico: https://www.wikidata.org/wiki/Q3400985",,botánica: https://www.wikidata.org/wiki/Q441,Agave: https://www.wikidata.org/wiki/Q155874,1801,1887,France: https://viaf.org/viaf/170385099,France: https://viaf.org/viaf/170385099,"Colegio Real Frances , Museo Nacional de Historia Natural de Francia: https://www.wikidata.org/wiki/Q838691 , Escuela Nacional Superior de Minas de Saint-Étienne",,"químico , botánico: https://www.wikidata.org/wiki/Q2374149 , agricultor: https://www.wikidata.org/wiki/Q131512",doctor,"Universidad de Lyon: https://www.wikidata.org/wiki/Q10176 , Conservatorio Nacional de Artes y Oficios: https://www.wikidata.org/wiki/Q524289","consejero de Estado: https://www.wikidata.org/wiki/Q2994367 , catedrático: https://www.wikidata.org/wiki/Q121594 , diputado de España: https://www.wikidata.org/wiki/Q18171345","Academia Estadounidense de Ciencias , Academia Prusiana de las Ciencias: https://www.wikidata.org/wiki/Q329464 , academia de ciencias: https://www.wikidata.org/wiki/Q414147 , Real Academia de las Ciencias de Suecia: https://www.wikidata.org/wiki/Q191583 , Sociedad Filomática de París","Medalla Copley: https://www.wikidata.org/wiki/Q28003 , Oficial de la Orden Nacional de la Legión de Honor: https://www.wikidata.org/wiki/Q10855195","Francia: https://www.wikidata.org/wiki/Q142 , América del Sur: https://www.wikidata.org/wiki/Q18","Benoît Fourneyron: https://www.wikidata.org/wiki/Q818117 , Alexander von Humboldt: https://www.wikidata.org/wiki/Q6694 , Jean-Baptiste Dumas: https://www.wikidata.org/wiki/Q164824",Jean-Louis Boussingault: https://www.wikidata.org/wiki/Q22915205,,,gaylussita,Gay Lussac,Fundador de la química agrícola moderna; Establece la primer estación experimental agrícola; Primer análisis del crecimiento de las plantas y su desarrollo mediante la rotación de cultivos,,"Memoire sur la composition du Pulque, boisson fermentée, préparée avec la seve du Maguey (Agave Americana)"
